"","album","year","normalized_afinn_score"
"1","Born in the U.S.A.",1984,-0.204918032786885
"2","Born to Run",1975,0.969812385385809
"3","Darkness on the Edge of Town",1978,-1.54536112414271
"4","Devils Dust",2005,2.40745321131173
"5","Greetings From Asbury Park, N.J.",1973,0
"6","High Hopes",2014,1.92307692307692
"7","Human Touch",1992,5.39477850884909
"8","Letter to You",2020,0.932366394939737
"9","Lucky Town",1992,7.95504146660847
"10","Magic",2007,1.75265611862723
"11","Nebraska",1982,-0.312490958016261
"12","The Ghost Of Tom Joad",1995,-0.200803212851406
"13","The Rising",2002,2.01342281879195
"14","The River",1980,0.0768967874231032
"15","The Wild, the Innocent & the E Street Shuffle",1973,0.740740740740741
"16","Tunnel of Love",1987,3.57715201465201
"17","We Shall Overcome: The Seeger Sessions",2006,0.403225806451613
"18","Western Stars",2019,2.57731958762887
"19","Working on a Dream",2009,4.97512437810945
"20","Wrecking Ball",2012,0.277777777777778
