"","word","freq"
"well","well",387
"just","just",381
"got","got",343
"baby","baby",306
"now","now",302
"come","come",293
"night","night",249
"love","love",243
"dont","dont",241
"can","can",224
"away","away",214
"like","like",198
"home","home",182
"youre","youre",178
"little","little",176
"man","man",170
"one","one",170
"aint","aint",161
"get","get",159
"heart","heart",146
"tonight","tonight",144
"back","back",143
"know","know",134
"let","let",131
"ill","ill",129
"day","day",129
"yeah","yeah",126
"take","take",122
"town","town",121
"theres","theres",120
"girl","girl",114
"hand","hand",111
"want","want",110
"eyes","eyes",109
"long","long",109
"way","way",107
"bring","bring",107
"walk","walk",106
"will","will",106
"said","said",104
"give","give",104
"light","light",97
"gonna","gonna",97
"youve","youve",96
"street","street",95
"right","right",94
"see","see",93
"dream","dream",93
"life","life",90
"old","old",89
"time","time",89
"hard","hard",86
"fire","fire",85
"darling","darling",82
"raise","raise",80
"last","last",79
"rain","rain",79
"days","days",79
"meet","meet",78
"hands","hands",77
"sky","sky",77
"hey","hey",77
"wanna","wanna",77
"dark","dark",77
"going","going",77
"train","train",76
"around","around",75
"say","say",75
"line","line",75
"never","never",74
"blood","blood",74
"gone","gone",74
"alright","alright",73
"look","look",73
"hear","hear",73
"may","may",73
"black","black",73
"morning","morning",72
"world","world",72
"nothing","nothing",71
"ground","ground",70
"good","good",68
"two","two",68
"coming","coming",68
"pay","pay",68
"working","working",68
"alone","alone",67
"highway","highway",67
"better","better",66
"make","make",65
"cant","cant",65
"place","place",64
"tell","tell",63
"work","work",61
"comes","comes",61
"money","money",61
"high","high",59
"feel","feel",59
"house","house",58
"keep","keep",57
"boy","boy",56
"ever","ever",56
"big","big",56
"left","left",56
"sun","sun",54
"hold","hold",54
"ive","ive",54
"stand","stand",54
"wont","wont",54
"ride","ride",53
"side","side",53
"ooh","ooh",53
"everything","everything",53
"cause","cause",53
"made","made",53
"faith","faith",53
"lost","lost",52
"end","end",52
"rise","rise",52
"river","river",52
"find","find",51
"pretty","pretty",51
"road","road",51
"every","every",51
"uhhuh","uhhuh",50
"soul","soul",49
"things","things",49
"need","need",48
"young","young",47
"came","came",47
"across","across",47
"something","something",46
"youll","youll",46
"shes","shes",46
"waiting","waiting",46
"went","went",46
"rocky","rocky",46
"mary","mary",45
"walking","walking",45
"put","put",45
"girls","girls",44
"took","took",44
"dreams","dreams",44
"kiss","kiss",44
"surprise","surprise",44
"bed","bed",43
"theyre","theyre",43
"real","real",43
"empty","empty",43
"lord","lord",42
"cold","cold",42
"times","times",42
"always","always",41
"live","live",41
"sweet","sweet",41
"whoa","whoa",41
"son","son",41
"weve","weve",41
"name","name",40
"honey","honey",40
"wind","wind",40
"arms","arms",40
"hearts","hearts",40
"alive","alive",40
"turn","turn",39
"boys","boys",39
"seen","seen",39
"face","face",39
"found","found",38
"job","job",38
"living","living",38
"streets","streets",38
"born","born",37
"lucky","lucky",37
"nothin","nothin",37
"lies","lies",37
"friend","friend",37
"city","city",37
"says","says",36
"thats","thats",36
"shots","shots",36
"looking","looking",36
"lay","lay",36
"summer","summer",35
"another","another",35
"run","run",35
"backstreets","backstreets",35
"hair","hair",34
"deep","deep",34
"dust","dust",34
"darkness","darkness",34
"thing","thing",34
"woke","woke",34
"open","open",33
"still","still",33
"blown","blown",33
"new","new",33
"mind","mind",33
"door","door",33
"hes","hes",32
"strength","strength",32
"goes","goes",32
"lights","lights",32
"done","done",32
"told","told",31
"wait","wait",31
"thinking","thinking",31
"round","round",31
"behind","behind",31
"sha","sha",31
"knows","knows",31
"secret","secret",31
"mine","mine",31
"sure","sure",30
"late","late",30
"show","show",30
"hope","hope",30
"talk","talk",30
"singing","singing",30
"hiding","hiding",30
"burning","burning",30
"stone","stone",29
"mister","mister",29
"stars","stars",29
"blue","blue",29
"gotta","gotta",29
"mans","mans",29
"wed","wed",29
"trying","trying",28
"mama","mama",28
"think","think",28
"smile","smile",28
"dead","dead",28
"fall","fall",28
"sometimes","sometimes",28
"land","land",28
"filled","filled",28
"death","death",28
"believe","believe",28
"sleep","sleep",28
"far","far",28
"cross","cross",28
"without","without",28
"prove","prove",28
"fell","fell",27
"stood","stood",27
"someday","someday",27
"stop","stop",27
"along","along",27
"room","room",27
"till","till",27
"evening","evening",27
"thousand","thousand",27
"standing","standing",26
"die","die",26
"brother","brother",26
"remember","remember",26
"wild","wild",26
"lets","lets",26
"head","head",26
"goodbye","goodbye",26
"shot","shot",26
"drive","drive",26
"maybe","maybe",26
"touch","touch",26
"weep","weep",26
"shining","shining",26
"dance","dance",25
"sing","sing",25
"skin","skin",25
"lie","lie",25
"next","next",25
"people","people",25
"nobody","nobody",25
"moon","moon",25
"miracle","miracle",25
"break","break",24
"straight","straight",24
"pain","pain",24
"rising","rising",24
"kids","kids",24
"glory","glory",24
"red","red",24
"best","best",24
"beautiful","beautiful",24
"running","running",24
"pony","pony",24
"didnt","didnt",24
"floor","floor",24
"billy","billy",24
"together","together",24
"cool","cool",24
"bad","bad",24
"tomorrow","tomorrow",24
"stay","stay",24
"beneath","beneath",24
"style","style",24
"pray","pray",24
"hometown","hometown",24
"traveling","traveling",24
